episode,cumulativeReward,course,flag_get
454,281.0,5-4,False
455,576.0,1-2,False
456,154.0,3-2,False
457,253.0,5-3,False
458,359.0,2-2,False
459,140.0,4-2,False
460,335.0,4-3,False
461,59.0,7-2,False
462,227.0,7-4,False
463,294.0,2-4,False
464,188.0,8-2,False
465,230.0,1-1,False
466,303.0,4-3,False
467,260.0,7-4,False
468,303.0,4-3,False
469,271.0,8-2,False
470,241.0,2-4,False
471,381.0,5-2,False
472,454.0,7-2,False
473,1137.0,7-2,False
474,634.0,6-2,False
475,241.0,5-4,False
476,793.0,1-2,False
477,681.0,2-2,False
478,384.0,8-3,False
479,281.0,6-1,False
480,326.0,5-3,False
481,250.0,1-3,False
482,86.0,8-4,False
483,406.0,4-1,False
484,488.0,1-4,False
485,285.0,3-4,False
486,144.0,8-1,False
487,223.0,6-3,False
488,294.0,5-2,False
489,72.0,5-3,False
490,192.0,1-1,False
491,137.0,4-4,False
492,227.0,6-3,False
493,77.0,4-4,False
494,253.0,1-3,False
495,227.0,1-3,False
496,288.0,3-4,False
497,86.0,8-4,False
498,314.0,7-1,False
499,528.0,1-2,False
500,450.0,3-4,False
501,569.0,3-2,False
502,343.0,3-1,False
503,325.0,4-3,False
504,277.0,3-1,False
505,169.0,6-4,False
506,516.0,5-2,False
507,291.0,3-4,False
508,386.0,1-4,False
509,728.0,6-2,False
510,328.0,7-1,False
511,997.0,2-3,False
512,282.0,6-1,False
513,259.0,2-1,False
514,251.0,2-1,False
515,384.0,7-2,False
516,359.0,6-2,False
517,227.0,6-3,False
518,227.0,1-3,False
519,600.0,1-2,False
520,631.0,1-1,False
521,998.0,2-3,False
522,419.0,6-1,False
523,466.0,4-1,False
524,460.0,8-3,False
525,279.0,6-1,False
526,213.0,3-4,False
527,285.0,4-2,False
528,221.0,6-3,False
529,428.0,7-2,False
530,276.0,7-4,False
531,637.0,1-3,False
532,378.0,7-3,False
533,310.0,7-4,False
534,409.0,7-2,False
535,474.0,7-1,False
536,123.0,5-1,False
537,227.0,6-3,False
538,384.0,5-2,False
539,308.0,2-3,False
540,475.0,4-1,False
541,136.0,3-2,False
542,1020.0,2-2,False
543,284.0,2-4,False
544,379.0,5-1,False
545,384.0,5-1,False
546,376.0,1-3,False
547,715.0,6-3,False
548,1353.0,2-2,False
549,215.0,6-3,False
550,194.0,4-2,False
551,188.0,8-2,False
552,272.0,2-4,False
553,245.0,1-1,False
554,136.0,1-2,False
555,260.0,2-1,False
556,281.0,4-2,False
557,377.0,2-1,False
558,203.0,4-2,False
559,136.0,1-2,False
560,219.0,6-3,False
561,107.0,8-4,False
562,258.0,2-1,False
563,251.0,5-3,False
564,340.0,2-4,False
565,82.0,8-4,False
566,582.0,7-2,False
567,109.0,5-2,False
568,186.0,8-2,False
569,316.0,2-3,False
570,303.0,4-3,False
571,317.0,7-1,False
572,227.0,5-3,False
573,227.0,1-3,False
574,227.0,1-3,False
575,319.0,7-1,False
576,368.0,4-1,False
577,141.0,8-2,False
578,243.0,7-4,False
579,220.0,8-2,False
580,255.0,7-4,False
581,312.0,4-3,False
582,254.0,8-1,False
583,211.0,3-4,False
584,126.0,3-2,False
585,233.0,7-4,False
586,1126.0,1-1,False
587,231.0,7-4,False
588,138.0,4-4,False
589,310.0,7-1,False
590,370.0,7-2,False
591,137.0,1-2,False
592,221.0,6-3,False
593,980.0,2-3,False
594,284.0,7-4,False
595,252.0,1-3,False
596,251.0,1-1,False
597,59.0,2-2,False
598,227.0,1-3,False
599,229.0,5-3,False
600,362.0,6-2,False
601,107.0,8-4,False
602,163.0,8-1,False
603,259.0,7-3,False
604,147.0,8-1,False
605,1142.0,7-2,False
606,1013.0,2-3,False
607,261.0,7-4,False
608,1141.0,7-2,False
609,83.0,8-4,False
610,325.0,4-1,False
611,252.0,5-3,False
612,747.0,8-2,False
613,232.0,1-1,False
614,286.0,4-2,False
615,442.0,6-1,False
616,1288.0,2-2,False
617,166.0,6-4,False
618,-158.0,7-1,False
619,227.0,3-3,False
620,150.0,4-2,False
621,221.0,1-3,False
622,310.0,2-3,False
623,1043.0,8-3,False
624,666.0,1-4,False
625,1031.0,1-1,False
626,74.0,4-4,False
627,301.0,4-3,False
628,267.0,5-2,False
629,344.0,1-3,False
630,251.0,2-4,False
631,950.0,8-3,False
632,310.0,5-4,False
633,77.0,4-4,False
634,565.0,6-2,False
635,136.0,3-2,False
636,178.0,7-1,False
637,354.0,3-4,False
638,141.0,4-2,False
639,1015.0,7-2,False
640,1041.0,8-3,False
641,394.0,4-1,False
642,210.0,5-1,False
643,87.0,8-4,False
644,279.0,6-1,False
645,1902.0,2-2,False
646,295.0,7-2,False
647,-33.0,2-2,False
648,-33.0,8-2,False
649,-28.0,5-1,False
650,96.0,8-1,False
651,100.0,8-1,False
652,63.0,8-4,False
653,87.0,8-4,False
654,228.0,3-3,False
655,150.0,4-2,False
656,70.0,3-1,False
657,-384.0,8-4,False
658,-32.0,3-2,False
659,55.0,4-4,False
660,140.0,5-1,False
661,78.0,4-4,False
662,280.0,6-1,False
663,214.0,3-4,False
664,74.0,4-4,False
665,250.0,1-1,False
666,119.0,8-4,False
667,707.0,2-3,False
668,78.0,4-4,False
669,245.0,2-1,False
670,635.0,3-1,False
671,227.0,6-3,False
672,150.0,4-2,False
673,1021.0,2-2,False
674,164.0,1-4,False
675,146.0,8-2,False
676,304.0,6-3,False
677,231.0,1-1,False
678,210.0,4-2,False
679,137.0,4-2,False
680,85.0,8-4,False
681,460.0,2-1,False
682,288.0,7-3,False
683,1141.0,2-2,False
684,247.0,7-4,False
685,261.0,3-2,False
686,770.0,8-3,False
687,167.0,1-4,False
688,205.0,3-4,False
689,163.0,1-4,False
690,249.0,3-3,False
691,303.0,5-4,False
692,177.0,8-2,False
693,3.0,7-2,False
694,86.0,8-4,False
695,242.0,2-4,False
696,422.0,7-3,False
697,214.0,3-4,False
698,214.0,3-4,False
699,173.0,6-4,False
700,107.0,8-4,False
701,158.0,3-2,False
702,284.0,5-4,False
703,992.0,2-3,False
704,484.0,7-1,False
705,739.0,7-1,False
706,74.0,4-4,False
707,753.0,8-3,False
708,256.0,3-1,False
709,1139.0,2-2,False
710,456.0,7-2,False
711,317.0,4-3,False
712,287.0,7-1,False
713,753.0,8-3,False
714,375.0,4-1,False
715,254.0,1-3,False
716,249.0,1-3,False
717,459.0,7-1,False
718,197.0,7-1,False
719,274.0,5-2,False
720,664.0,3-1,False
721,317.0,6-2,False
722,114.0,7-3,False
723,699.0,2-3,False
724,538.0,5-1,False
725,270.0,7-3,False
726,721.0,2-2,False
727,322.0,8-3,False
728,347.0,2-4,False
729,240.0,7-4,False
730,169.0,1-4,False
731,252.0,1-3,False
732,406.0,2-1,False
733,271.0,6-4,False
734,386.0,5-2,False
735,205.0,5-1,False
736,207.0,7-1,False
737,350.0,5-3,False
738,166.0,1-4,False
739,209.0,5-1,False
740,344.0,4-3,False
741,170.0,1-4,False
742,227.0,1-3,False
743,417.0,3-2,False
744,86.0,8-4,False
745,265.0,5-4,False
746,250.0,5-3,False
747,577.0,6-1,False
748,244.0,2-2,False
749,399.0,3-2,False
750,955.0,2-2,False
751,304.0,6-3,False
752,676.0,3-1,False
753,364.0,1-3,False
754,242.0,5-4,False
755,227.0,1-3,False
756,948.0,8-3,False
757,309.0,5-4,False
758,350.0,4-3,False
759,285.0,6-1,False
760,110.0,8-4,False
761,1131.0,7-3,False
762,327.0,4-1,False
763,201.0,4-2,False
764,229.0,1-3,False
765,226.0,6-3,False
766,1010.0,3-2,False
767,240.0,5-4,False
768,25.0,7-2,False
769,429.0,7-2,False
770,284.0,7-4,False
771,284.0,2-4,False
772,284.0,7-4,False
773,258.0,3-3,False
774,140.0,5-1,False
775,335.0,4-3,False
776,223.0,8-2,False
777,136.0,1-2,False
778,214.0,3-4,False
779,221.0,6-3,False
780,140.0,5-1,False
781,466.0,7-2,False
782,52.0,7-2,False
783,221.0,6-3,False
784,219.0,6-3,False
785,107.0,8-4,False
786,554.0,2-1,False
787,470.0,4-1,False
788,1255.0,2-3,False
789,1004.0,2-3,False
790,113.0,8-4,False
791,246.0,1-1,False
792,282.0,2-1,False
793,465.0,4-1,False
794,256.0,3-3,False
795,1215.0,4-1,False
796,396.0,6-4,False
797,238.0,6-2,False
798,466.0,4-1,False
799,237.0,3-3,False
800,281.0,6-1,False
801,281.0,7-4,False
802,158.0,3-2,False
803,135.0,4-2,False
804,353.0,1-3,False
805,243.0,2-1,False
806,213.0,3-4,False
807,159.0,4-2,False
808,173.0,1-4,False
809,463.0,4-1,False
810,187.0,3-4,False
811,283.0,5-4,False
812,295.0,6-2,False
813,-155.0,5-2,False
814,94.0,7-1,False
815,148.0,2-1,False
816,107.0,8-4,False
817,82.0,7-3,False
818,261.0,6-2,False
819,75.0,4-4,False
820,899.0,8-3,False
821,256.0,7-4,False
822,209.0,5-1,False
823,184.0,2-4,False
824,1219.0,4-1,False
825,714.0,7-3,False
826,260.0,6-4,False
827,292.0,8-2,False
828,942.0,8-3,False
829,253.0,3-3,False
830,188.0,4-3,False
831,481.0,7-1,False
832,59.0,7-2,False
833,258.0,5-3,False
834,259.0,2-1,False
835,371.0,8-3,False
836,286.0,6-1,False
837,215.0,6-3,False
838,334.0,3-2,False
839,994.0,2-3,False
840,462.0,4-1,False
841,632.0,1-1,False
842,276.0,5-4,False
843,172.0,1-4,False
844,177.0,8-3,False
845,204.0,2-4,False
846,1094.0,2-2,False
847,157.0,8-1,False
848,735.0,6-2,False
849,59.0,2-2,False
850,-68.0,5-4,False
851,232.0,1-1,False
852,166.0,1-4,False
853,146.0,8-1,False
854,294.0,3-4,False
855,146.0,8-1,False
856,132.0,7-2,False
857,281.0,2-4,False
858,228.0,1-3,False
859,229.0,6-3,False
860,213.0,3-4,False
861,142.0,2-2,False
862,243.0,7-4,False
863,136.0,3-2,False
864,-81.0,8-3,False
865,304.0,4-3,False
866,247.0,7-4,False
867,370.0,3-4,False
868,147.0,8-1,False
869,136.0,3-2,False
870,172.0,6-4,False
871,133.0,3-2,False
872,288.0,6-1,False
