episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
111,251.0,316,293,False,4.178646087646484,0.89055,154,False,False,3-3,2025-12-11 19:00:08.440396
112,489.0,559,287,False,4.397673606872559,0.889555,278,False,False,1-4,2025-12-11 19:00:10.447182
113,647.0,738,364,False,3.1366286277770996,0.88856,723,False,False,5-2,2025-12-11 19:00:17.049030
114,744.0,834,265,False,3.0420193672180176,0.8875649999999999,703,False,False,8-3,2025-12-11 19:00:25.127167
115,458.0,530,283,False,4.163543224334717,0.88657,355,False,False,8-3,2025-12-11 19:00:28.953080
116,323.0,388,292,False,2.2299461364746094,0.885575,167,False,False,4-3,2025-12-11 19:00:30.499617
117,327.0,394,288,False,4.028658866882324,0.88458,251,False,False,7-3,2025-12-11 19:00:32.245844
118,224.0,290,291,False,6.156249046325684,0.883585,187,False,False,3-3,2025-12-11 19:00:33.515440
119,80.0,147,390,False,3.565063714981079,0.88259,207,False,False,8-4,2025-12-11 19:00:36.394682
120,407.0,476,289,False,3.0284416675567627,0.881595,223,False,False,8-1,2025-12-11 19:00:37.955502
121,214.0,277,292,False,3.584091901779175,0.8806,178,False,False,3-4,2025-12-11 19:00:39.253799
122,172.0,237,292,False,2.2555665969848633,0.879605,160,False,False,1-4,2025-12-11 19:00:40.382945
123,317.0,383,291,False,2.785381317138672,0.87861,180,False,False,6-3,2025-12-11 19:00:43.114363
124,479.0,557,378,False,3.511702537536621,0.877615,443,False,False,7-2,2025-12-11 19:00:50.049176
125,273.0,339,291,False,3.5398385524749756,0.87662,187,False,False,2-4,2025-12-11 19:00:51.380863
126,80.0,145,392,False,2.372760534286499,0.875625,167,False,False,8-4,2025-12-11 19:00:52.553596
127,824.0,937,242,False,3.179535388946533,0.87463,1160,False,False,8-3,2025-12-11 19:01:04.893684
128,905.0,994,366,False,4.273930549621582,0.8736349999999999,695,False,False,5-2,2025-12-11 19:01:09.877957
129,76.0,136,396,False,3.3748385906219482,0.87264,82,False,False,4-4,2025-12-11 19:01:11.929163
130,1132.0,1234,353,False,8.027542114257812,0.871645,943,False,False,2-2,2025-12-11 19:01:20.062038
131,259.0,325,292,False,3.312385082244873,0.87065,160,False,False,3-3,2025-12-11 19:01:21.220455
132,220.0,284,292,False,3.947722911834717,0.869655,165,False,False,5-3,2025-12-11 19:01:22.422602
133,110.0,171,397,False,3.2193493843078613,0.86866,78,False,False,8-4,2025-12-11 19:01:23.163932
134,139.0,201,394,False,2.707371711730957,0.867665,132,False,False,4-4,2025-12-11 19:01:24.102767
135,236.0,306,287,False,3.278423309326172,0.86667,263,False,False,2-4,2025-12-11 19:01:27.510578
136,221.0,285,392,False,5.0557756423950195,0.865675,173,False,False,1-1,2025-12-11 19:01:28.749191
137,252.0,317,391,False,3.944652557373047,0.86468,191,False,False,2-1,2025-12-11 19:01:30.125487
138,247.0,313,390,False,3.3773844242095947,0.863685,213,False,False,2-1,2025-12-11 19:01:33.109490
139,378.0,450,383,False,5.289608478546143,0.86269,343,False,False,6-1,2025-12-11 19:01:35.581569
140,155.0,219,293,False,2.4990289211273193,0.861695,147,False,False,8-3,2025-12-11 19:01:36.647860
141,351.0,418,291,False,5.156091690063477,0.8607,194,False,False,4-3,2025-12-11 19:01:38.507051
142,553.0,722,286,False,2.469893455505371,0.859705,2283,False,False,6-2,2025-12-11 19:02:04.042705
143,221.0,290,288,False,2.546290874481201,0.85871,245,False,False,1-3,2025-12-11 19:02:05.646947
144,274.0,342,289,False,5.263218879699707,0.857715,219,False,False,2-3,2025-12-11 19:02:08.515626
145,250.0,315,293,False,2.4872183799743652,0.85672,148,False,False,3-3,2025-12-11 19:02:09.502629
146,103.0,166,294,False,3.185190200805664,0.8557250000000001,125,False,False,5-1,2025-12-11 19:02:10.353430
147,127.0,187,394,False,7.485548973083496,0.85473,128,False,False,4-2,2025-12-11 19:02:11.250331
148,499.0,572,384,False,2.701894521713257,0.853735,329,False,False,3-1,2025-12-11 19:02:13.434146
149,249.0,314,293,False,2.108427047729492,0.85274,147,False,False,3-3,2025-12-11 19:02:15.880541
150,790.0,883,363,False,14.16050910949707,0.851745,739,False,False,5-2,2025-12-11 19:02:20.907829
151,501.0,574,283,False,12.762203216552734,0.85075,347,False,False,7-3,2025-12-11 19:02:24.673070
152,208.0,272,394,False,11.439014434814453,0.849755,131,False,False,7-1,2025-12-11 19:02:25.535190
153,250.0,314,294,False,7.937222957611084,0.84876,125,False,False,5-3,2025-12-11 19:02:26.412756
154,258.0,327,286,False,9.182994842529297,0.847765,286,False,False,4-3,2025-12-11 19:02:28.311253
155,358.0,428,387,False,6.070819854736328,0.84677,259,False,False,7-4,2025-12-11 19:02:32.854938
156,982.0,1072,267,False,12.054330825805664,0.8457749999999999,678,False,False,2-3,2025-12-11 19:02:40.881866
157,91.0,151,396,False,4.579000949859619,0.84478,87,False,False,8-4,2025-12-11 19:02:41.436333
158,378.0,450,384,False,8.288299560546875,0.843785,338,False,False,5-2,2025-12-11 19:02:43.563703
159,782.0,868,371,False,8.345100402832031,0.84279,595,False,False,8-2,2025-12-11 19:02:52.353057
