episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
102,570.0,722,303,False,15.289373397827148,0.899505,1944,True,True,1-1,2025-12-10 22:12:46.781705
103,228.0,295,390,False,16.637287139892578,0.89851,199,False,False,1-1,2025-12-10 22:12:48.021614
104,589.0,722,322,False,12.118535041809082,0.8975150000000001,1564,True,True,1-1,2025-12-10 22:12:58.188836
105,945.0,1136,265,False,8.685624122619629,0.89652,2707,False,False,1-1,2025-12-10 22:13:15.931690
106,248.0,313,393,False,18.01259422302246,0.895525,141,False,False,1-1,2025-12-10 22:13:16.833329
107,620.0,699,377,False,17.075550079345703,0.89453,463,False,False,1-1,2025-12-10 22:13:20.088143
108,593.0,670,380,False,12.813499450683594,0.893535,401,False,False,1-1,2025-12-10 22:13:22.625660
109,589.0,680,366,False,33.74897766113281,0.89254,697,False,False,1-1,2025-12-10 22:13:27.101013
110,795.0,898,352,False,33.16107177734375,0.891545,977,False,False,1-1,2025-12-10 22:13:33.563332
111,1462.0,1664,254,False,10.864604949951172,0.89055,2923,False,False,1-1,2025-12-10 22:13:58.675268
112,196.0,264,388,False,13.335742950439453,0.889555,257,False,False,1-1,2025-12-10 22:14:00.303810
113,228.0,292,392,False,15.435690879821777,0.88856,171,False,False,1-1,2025-12-10 22:14:01.373137
114,241.0,305,393,False,10.764087677001953,0.8875649999999999,153,False,False,1-1,2025-12-10 22:14:02.348107
115,227.0,292,391,False,24.13944435119629,0.88657,191,False,False,1-1,2025-12-10 22:14:03.574700
116,237.0,301,392,False,21.483604431152344,0.885575,159,False,False,1-1,2025-12-10 22:14:04.591936
117,224.0,290,391,False,19.069129943847656,0.88458,179,False,False,1-1,2025-12-10 22:14:05.784692
118,610.0,686,381,False,28.58966827392578,0.883585,391,False,False,1-1,2025-12-10 22:14:08.325240
119,600.0,678,379,False,8.671655654907227,0.88259,423,False,False,1-1,2025-12-10 22:14:11.023526
120,174.0,242,387,False,18.654233932495117,0.881595,263,False,False,1-1,2025-12-10 22:14:12.728806
121,227.0,292,392,False,22.714599609375,0.8806,169,False,False,1-1,2025-12-10 22:14:13.823659
