episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,course,time
3561,780.0,702,383,False,0,0.5728,351,1-1,2025-12-10 07:09:45.641609
3562,404.0,722,0,False,0,0.57268,8018,1-1,2025-12-10 07:10:04.711954
3563,721.0,678,358,False,0,0.57256,855,1-1,2025-12-10 07:10:06.720597
3564,416.0,722,0,False,0,0.57244,8018,1-1,2025-12-10 07:10:25.751125
3565,418.0,722,0,False,0,0.5723199999999999,8018,1-1,2025-12-10 07:10:44.863341
3566,745.0,689,372,False,0,0.5722,567,1-1,2025-12-10 07:10:46.209290
3567,284.0,296,392,False,0,0.57208,163,1-1,2025-12-10 07:10:46.610654
3568,708.0,815,154,False,0,0.57196,4935,1-1,2025-12-10 07:10:58.283853
3569,302.0,310,394,False,0,0.5718399999999999,131,1-1,2025-12-10 07:10:58.604282
3570,727.0,671,380,False,0,0.57172,409,1-1,2025-12-10 07:10:59.559972
3571,289.0,298,393,False,0,0.5716,141,1-1,2025-12-10 07:10:59.887014
3572,300.0,314,394,False,0,0.57148,125,1-1,2025-12-10 07:11:00.177401
3573,732.0,693,371,False,0,0.57136,595,1-1,2025-12-10 07:11:01.596554
3574,301.0,309,394,False,0,0.57124,133,1-1,2025-12-10 07:11:01.912758
3575,287.0,298,393,False,0,0.5711200000000001,139,1-1,2025-12-10 07:11:02.247686
3576,423.0,722,0,False,0,0.571,8018,1-1,2025-12-10 07:11:21.337171
3577,716.0,669,360,False,0,0.57088,807,1-1,2025-12-10 07:11:23.240776
3578,284.0,295,392,False,0,0.5707599999999999,163,1-1,2025-12-10 07:11:23.643580
3579,784.0,705,379,False,0,0.57064,429,1-1,2025-12-10 07:11:24.660831
3580,684.0,869,97,False,0,0.5705199999999999,6061,1-1,2025-12-10 07:11:39.090025
3581,296.0,305,394,False,0,0.5704,135,1-1,2025-12-10 07:11:39.420152
3582,287.0,298,392,False,0,0.57028,159,1-1,2025-12-10 07:11:39.791345
3583,294.0,310,394,False,0,0.57016,133,1-1,2025-12-10 07:11:40.107475
3584,751.0,683,369,False,0,0.57004,627,1-1,2025-12-10 07:11:41.610115
3585,288.0,298,393,False,0,0.56992,149,1-1,2025-12-10 07:11:41.966771
3586,745.0,722,357,False,0,0.5698000000000001,859,1-1,2025-12-10 07:11:44.036959
3587,438.0,722,0,False,0,0.56968,8018,1-1,2025-12-10 07:12:03.134949
3588,422.0,722,0,False,0,0.5695600000000001,8018,1-1,2025-12-10 07:12:22.168020
3589,778.0,722,371,False,0,0.56944,587,1-1,2025-12-10 07:12:23.582712
3590,393.0,722,0,False,0,0.56932,8018,1-1,2025-12-10 07:12:42.618338
3591,952.0,898,296,False,0,0.5691999999999999,2087,1-1,2025-12-10 07:12:47.617766
3592,274.0,296,393,False,0,0.56908,149,1-1,2025-12-10 07:12:47.967668
3593,274.0,296,393,False,0,0.56896,143,1-1,2025-12-10 07:12:48.303015
3594,712.0,672,379,False,0,0.56884,429,1-1,2025-12-10 07:12:49.329789
3595,292.0,302,393,False,0,0.56872,143,1-1,2025-12-10 07:12:49.675721
3596,792.0,722,367,False,0,0.5686,667,1-1,2025-12-10 07:12:51.269242
3597,690.0,677,325,False,0,0.56848,1501,1-1,2025-12-10 07:12:54.843674
